,Vs_min,Vs_mean,Vs_max,Vs_std
203,1230.6583,2182.404,3517.7964,329.32938
204,1071.4286,2766.4314,4500.0,719.2678
205,1071.4286,2169.825,4404.334,413.7642
206,1263.797,2568.2654,3828.9302,401.93195
207,1524.0436,2485.7424,4500.0,440.8941
208,1299.4258,2429.1235,4500.0,559.8923
209,1071.4286,2329.2927,4500.0,642.4361
210,1071.4286,2244.7424,4169.23,447.38687
211,1292.1523,2998.5076,4500.0,491.2352
212,1071.4286,2630.3237,4500.0,681.0667
213,1071.4286,2607.6768,4500.0,569.11566
214,1071.4286,2705.9226,4500.0,432.94675
215,1141.8558,2781.3376,4500.0,503.41183
216,1114.6091,2382.924,4099.445,549.64044
217,2081.152,2782.4858,3930.597,271.3844
218,1158.6901,2445.1824,4500.0,614.5488
219,1249.4774,2271.8,4500.0,431.64313
220,1334.7214,2560.7583,4500.0,541.0804
221,1091.9261,2397.8296,4209.132,386.8207
222,1071.4286,2250.6113,4500.0,571.51337
223,1071.4286,2406.042,4500.0,649.18616
224,2246.772,2495.7534,3562.618,198.66621
225,1071.4286,2385.9575,4500.0,753.1473
226,1844.27,2529.4841,3350.2668,246.38321
227,1373.807,2118.2175,4213.573,436.97034
228,1071.4286,2121.5793,4500.0,500.87976
229,1146.5782,2209.322,4192.07,414.89355
230,1228.9521,2779.3801,4500.0,377.09
231,1071.4286,2761.4854,4500.0,733.56354
232,1604.919,2411.955,3908.0437,361.7117
233,1551.2552,2795.8484,4500.0,522.97217
234,1429.9082,2510.2502,3970.236,386.0712
235,1071.4286,2558.6697,4500.0,555.2113
236,1540.9019,3006.8042,4500.0,472.992
237,2036.9939,2828.2727,4405.357,316.6678
238,1071.4286,2638.507,4500.0,591.98224
239,1071.4286,2636.0164,4500.0,735.0132
240,1076.1951,2517.4885,4178.52,559.34186
241,1191.695,2532.1338,4500.0,510.34286
242,1071.4286,2277.3438,4262.3594,596.64984
243,1399.8838,2550.7266,4500.0,583.1635
244,1166.5558,2554.02,4500.0,447.42645
245,1071.4286,2448.9934,4500.0,537.1657
246,1175.7607,2472.8599,4083.7668,426.63605
247,1071.4286,1861.457,4500.0,543.3634
248,1239.4277,2353.0793,4500.0,425.09674
249,1071.4286,2602.0898,4500.0,625.50867
250,1071.4286,1964.7147,4500.0,462.99765
251,1071.4286,2127.2322,4119.343,475.42136
252,1220.1708,2308.7505,4264.462,425.38733
253,1469.1036,2615.0664,4500.0,439.97278
254,1071.4286,2143.0867,3899.8723,439.70645
255,1301.777,2399.4014,4500.0,410.55988
256,1071.4286,2149.5132,4500.0,596.5809
257,1229.6152,2317.6826,4500.0,322.77945
258,1399.78,2442.083,3961.8958,323.23904
259,1071.4286,2305.2908,4500.0,422.42102
260,1071.4286,2191.3281,4500.0,476.8
261,1071.4286,2095.7727,4500.0,468.04785
262,1071.4286,2656.9343,4500.0,752.59174
263,1412.5276,2680.5586,4500.0,550.1563
264,1597.145,2885.8416,4500.0,421.6287
265,1218.1643,2455.0447,4500.0,545.8431
266,1071.4286,2271.8528,4500.0,649.2203
267,1071.4286,2534.0762,4500.0,618.3843
268,1316.0719,2219.5278,3744.891,384.23163
269,1665.5754,2202.1265,3548.4583,262.2274
270,1215.5272,2875.6658,4380.8223,430.13522
271,1080.262,2260.9824,4266.294,428.79208
272,2273.3955,2542.584,3594.5886,196.62679
273,1077.6353,2830.1663,4403.6973,602.8749
274,1232.2704,2646.9617,4500.0,599.40936
275,1468.6694,2420.3918,3926.5754,326.78027
276,1071.4286,2300.239,4500.0,607.3731
277,1262.1675,2201.1575,3614.4592,389.73575
278,1071.4286,2541.0994,4500.0,558.3104
279,1071.4286,2585.6614,4500.0,597.6149
280,1082.1422,2575.167,4500.0,571.7411
281,1344.2988,2582.8635,4500.0,510.43604
282,1091.3093,2517.5647,4500.0,615.7208
283,1164.2443,2411.232,4500.0,423.05133
284,1071.4286,2338.8738,3830.3127,448.7377
285,1101.7297,2266.8796,4174.026,458.61963
286,1243.5039,2481.7644,4168.546,356.17606
287,1152.2312,2128.42,4422.3594,402.2709
288,1071.4286,2644.203,4500.0,571.9076
289,1071.4286,2448.1655,4500.0,453.7403
290,1071.4286,2484.4302,4500.0,645.5808
291,1458.7389,2704.0593,4500.0,526.12885
292,1789.7666,2598.0417,4068.8093,498.55707
293,1071.4286,2447.077,4500.0,591.0002
294,1071.4286,2478.965,4468.4805,541.5472
295,1071.4286,2681.3384,4500.0,671.61926
296,1663.1277,2529.5847,3812.739,331.5656
297,1071.4286,2385.771,4500.0,591.7611
298,1071.4286,2470.2698,4500.0,652.15204
299,1071.4286,2247.9397,4500.0,609.53424
300,1071.4286,2374.8135,4475.8594,455.26456
301,1334.5284,2541.5706,4500.0,426.73654
302,1071.4286,2343.0425,4500.0,626.8547
303,1685.0818,2968.6343,4500.0,411.52963
304,1071.4286,2309.6462,4500.0,460.238
305,1071.4286,2771.6604,4500.0,594.18835
306,1071.4286,2600.0288,4500.0,593.999
307,1071.4286,2550.0098,4500.0,353.69385
308,1071.4286,2212.9812,4397.271,564.96075
309,1396.1633,2533.9512,4500.0,456.62878
310,1071.4286,2703.8145,4500.0,478.87097
311,1384.1029,2514.1978,4323.745,505.66434
312,1912.8167,2821.9377,4500.0,511.6353
313,1586.2667,2720.4844,4429.585,443.42175
314,1071.4286,2175.9712,4480.6924,487.83524
315,1554.392,2411.1553,4500.0,465.06015
316,1706.0258,2743.236,4272.5073,396.55658
317,1071.4286,2341.588,4500.0,625.2478
318,1071.4286,2273.5005,3539.755,405.51462
319,1222.8885,2584.958,4273.2876,508.95828
320,1071.4286,2008.8024,3454.0623,372.4948
321,1102.5374,2468.6235,4123.8223,420.15115
322,1187.5148,2460.5342,4500.0,517.73364
323,1263.5125,2314.4897,4404.3267,428.59555
324,1636.6566,2664.0732,4183.726,356.95688
325,1071.4286,2658.254,4500.0,418.00494
326,1277.8666,2027.3057,3447.9822,350.1588
327,1071.4286,1863.6934,4308.6562,469.93506
328,1109.3525,2642.4648,4500.0,563.72656
329,1071.4286,1910.6515,4404.1836,494.93677
330,1789.1166,2529.358,4500.0,589.0465
331,1839.3877,2834.033,4119.5244,398.22464
332,1320.857,1950.1797,3600.7197,327.1678
333,1238.5597,2747.7893,4500.0,661.82947
334,1071.4286,2612.7363,4230.4136,541.8129
335,1339.1918,2016.7671,3524.9485,296.32
336,1071.4286,2130.981,3810.9702,372.01865
337,1266.6494,2179.5356,3511.1516,358.2206
338,1496.0608,2242.268,3521.0515,292.82547
339,1155.4183,2487.2942,4500.0,458.2524
340,1582.8528,2516.1135,4373.049,349.64725
341,1071.4286,2382.5537,4500.0,706.4298
342,1597.9968,2364.1128,3790.8943,318.62186
343,1385.0759,2509.3228,4500.0,482.67172
344,1382.4465,2596.1184,4500.0,454.9606
345,1600.5446,2405.9155,4367.8633,472.9179
346,1071.4286,2360.7456,4500.0,519.79626
347,1320.6207,2264.1494,4500.0,523.5359
348,1474.8182,2568.083,4500.0,485.91647
349,1071.4286,2617.2505,4500.0,578.4504
350,1131.0503,2264.591,4500.0,446.32828
351,1111.7896,2719.0159,4500.0,628.6086
352,1071.4286,2479.884,4500.0,563.3884
353,1071.4286,2633.6338,4500.0,575.0025
354,1452.6107,2835.0312,4500.0,507.06088
355,1071.4286,2254.5637,4071.3132,421.85413
356,1071.4286,2441.0125,4309.9404,577.0284
357,1573.8176,3054.958,4500.0,503.23862
358,1071.4286,1829.3167,4500.0,556.27686
359,1422.7241,2763.481,4500.0,481.91956
360,1179.1111,2667.542,4500.0,592.81415
361,1389.4247,2477.9216,4478.652,537.8355
362,1090.8175,2473.6104,4500.0,498.87823
363,1071.4286,2261.14,4500.0,500.153
364,1149.1523,2532.4666,4500.0,492.76492
365,1196.7262,2105.0107,4357.6016,394.25336
366,1424.2249,2548.7092,4500.0,496.96835
367,1071.4286,2177.881,4500.0,492.39886
368,1071.4286,2477.7231,4500.0,573.50385
369,1190.4772,2836.8372,4500.0,497.08762
370,2726.0776,2988.5833,3818.4163,155.83174
371,1261.2062,3131.983,4500.0,672.89703
372,1116.985,2254.8096,4151.9644,444.84186
373,1071.4286,2503.5327,4500.0,494.06375
374,1521.5995,2104.0015,3518.329,282.58328
375,1084.1223,2197.0547,4301.112,406.4315
376,1112.7057,2320.9487,4287.4043,476.7528
377,1214.0916,2234.4822,3920.4739,353.86264
378,1276.3466,2720.7515,4500.0,401.68472
379,1189.9064,2813.8193,4500.0,518.6536
380,1071.4286,2327.0354,4500.0,605.921
381,1081.4537,2266.8809,3895.1868,413.1706
382,1451.6707,2798.5432,4500.0,464.37347
383,2077.7393,2941.1487,4268.547,312.4695
384,1541.3037,2741.6138,4500.0,485.34048
385,1116.2302,2842.3933,4500.0,410.34018
386,1071.4286,2247.5505,4500.0,613.9205
387,1071.4286,2864.5327,4384.5996,388.93497
388,1084.8103,2545.8142,4500.0,603.2688
389,1071.4286,2283.423,4100.1587,403.48618
390,1071.4286,2332.3525,4500.0,629.1704
391,1071.4286,2312.5215,4500.0,434.30322
392,1071.4286,2608.864,3997.4792,446.5126
393,2167.5837,2662.9514,3741.9336,217.33586
394,1427.9802,2869.2412,4500.0,576.62476
395,1078.068,2739.905,4500.0,599.1706
396,1229.0009,2574.4778,4500.0,625.31995
397,1167.6772,2439.5286,4500.0,438.1138
398,1347.3374,2087.4878,3695.4497,301.44214
399,1071.4286,2522.8962,4368.3413,480.03238
400,1207.3802,2629.9844,4500.0,537.2027
401,1558.0933,2374.0356,3992.677,383.55762
402,1284.4115,2178.233,3820.639,314.04773
403,2082.4126,2843.6416,4045.687,249.46054
404,1071.4286,2443.676,4500.0,713.60474
405,1496.5089,2429.5557,4414.551,410.74808
406,1071.4286,2413.4248,4500.0,678.3791
407,1606.3048,2769.2014,4500.0,437.71243
408,1569.0653,2792.92,4500.0,491.2383
409,1550.517,2300.7356,4463.299,332.87415
410,1071.4286,2901.7034,4500.0,682.8805
411,1071.4286,2405.0198,4500.0,529.2219
412,1082.8842,1918.413,3476.3313,331.0812
413,1604.3734,2718.0913,4500.0,484.2429
414,1071.4286,2644.1008,4500.0,584.3771
415,1115.2421,2715.0427,4500.0,555.4407
416,1169.4412,2309.9553,4089.8936,450.15332
417,1393.4329,2719.278,4500.0,570.16785
418,1494.702,2487.6772,3874.5847,337.19193
419,1788.8784,2674.4648,4500.0,351.3875
420,1525.4122,2444.9607,4130.4756,352.2154
421,1669.7538,2711.0046,3893.516,451.60086
422,1071.4286,2107.4937,4500.0,554.7479
423,1221.2985,2532.3706,4466.1104,432.36148
424,1071.4286,2300.8733,4132.4204,431.0395
425,1154.6272,2707.7332,4500.0,628.45807
426,1071.4286,2281.118,4500.0,419.76724
427,1580.3505,2772.8164,4344.4688,384.97296
428,1207.6509,2283.395,4092.7522,411.6838
429,1334.6731,2483.9897,4500.0,588.59204
430,1324.9114,2786.582,4500.0,501.39594
431,1071.4286,2533.578,4500.0,593.84515
432,1401.5905,2672.2134,4500.0,471.382
433,1441.0978,2501.6375,4500.0,545.8778
434,1518.4309,2164.1228,3608.108,274.96844
435,1071.4286,2190.1375,4125.6924,566.7332
436,1138.9287,2546.444,4500.0,398.2614
437,1265.6588,2759.2292,4500.0,532.19977
438,2007.9656,3219.1545,4500.0,407.7417
439,1306.6903,2622.1475,4500.0,506.9827
440,1071.4286,2346.2869,4500.0,647.67346
441,1071.4286,2153.3528,4500.0,432.8698
442,1071.4286,2536.4438,4500.0,514.81744
443,1071.4286,2654.0193,4211.2837,540.71136
444,1071.4286,2660.3528,4500.0,516.544
445,1451.6497,3102.4482,4500.0,566.92035
446,1106.707,2337.9382,4002.0405,360.88678
447,1436.0896,2693.329,4500.0,484.09808
448,1071.4286,2726.5027,4500.0,454.18915
449,1071.4286,2621.7227,4500.0,720.2549
450,1080.9967,2490.1042,4135.6416,542.00903
451,1197.9905,2522.3772,4372.699,486.73544
452,1071.4286,2370.5295,4327.6904,515.8157
453,1342.5271,2343.0854,4500.0,530.54065
454,1071.4286,2713.766,4500.0,518.29565
455,1391.4021,2434.273,4500.0,438.27612
456,1642.4158,2955.4001,4500.0,465.03888
457,1071.4286,2254.6597,4500.0,489.8235
458,1255.9972,2307.8657,4146.655,416.6844
459,2004.8624,3079.2566,4500.0,346.0816
460,1214.1083,2548.4697,4500.0,487.41684
461,1500.0789,2534.7947,4061.6775,402.29025
462,1097.1049,2522.832,4500.0,603.6447
463,1071.4286,2451.7898,4100.0024,416.879
464,1071.4286,2103.4458,4500.0,579.1104
465,1071.4286,2675.841,4500.0,671.30493
466,1601.2893,2897.8494,4500.0,387.06708
467,1364.1185,2619.113,4500.0,615.8694
468,1256.498,2526.4746,4500.0,456.2496
469,1574.9427,1927.3862,3360.5845,275.69995
470,1071.4286,2593.2744,4500.0,457.98993
471,1242.5128,2489.217,4500.0,543.4372
472,1071.4286,2711.341,4500.0,670.1039
473,1071.4286,2336.9685,4500.0,492.76248
474,1071.4286,2265.3784,4500.0,590.7521
475,1865.0619,2985.6172,4500.0,320.27094
476,1341.167,2507.0857,4465.654,448.084
477,1533.7196,2368.461,4071.485,362.5228
478,1486.3809,2719.6958,4300.089,509.84045
479,1071.4286,2227.8032,4500.0,468.23352
480,1950.9307,2923.837,4278.641,314.29633
481,1126.0958,3039.4675,4500.0,758.2049
482,1489.9801,2581.4102,4129.369,343.91483
483,1071.4286,2145.5757,4500.0,528.8385
484,1071.4286,2325.1248,4049.7388,469.34174
485,1346.754,2676.3738,4500.0,461.98206
486,1071.4286,2524.27,4500.0,858.56366
487,1071.4286,2520.5327,4500.0,588.223
488,1071.4286,2258.3823,4500.0,402.49875
489,1524.919,2759.935,4500.0,455.5936
490,1071.4286,2756.6995,4500.0,582.57886
491,1615.3682,2488.9187,4500.0,470.54626
492,1649.9917,2938.4895,4500.0,474.45047
493,1071.4286,2227.5652,4487.334,516.0657
494,1089.46,2616.052,4193.1763,441.93002
495,1071.4286,2664.2378,4500.0,382.37634
496,1443.4872,2765.992,4500.0,482.75287
497,1689.7786,2393.1562,3865.069,308.685
498,2793.2012,2956.1848,3763.953,153.3375
499,1071.4286,2475.847,4500.0,633.87427
500,1252.4838,2409.0142,4500.0,558.0486
501,1269.9923,2652.6453,4372.0327,462.71564
502,1071.4286,2553.2546,3961.0132,375.72623
503,1071.4286,2496.2834,4500.0,443.41888
504,1071.4286,2227.9473,4500.0,599.2296
505,1997.3535,3004.4563,4008.0254,314.59146
506,1071.4286,2686.671,4500.0,487.76324
507,1267.2523,2465.3762,4461.858,443.77966
508,1071.4286,2178.8774,4500.0,518.62744
509,1328.1273,2437.479,4500.0,704.76184
510,1767.1853,2769.2864,4500.0,389.57697
511,1071.4286,2494.6309,4500.0,649.1173
512,1207.6945,2617.6519,4371.1626,608.35846
513,1077.7992,2922.2808,4500.0,520.42377
514,1577.0853,2284.5488,3783.9224,300.635
515,1145.5677,2497.3948,4500.0,631.0714
516,1071.4286,2677.1118,4500.0,586.6105
517,1130.4862,2503.1152,4500.0,567.77515
518,1078.7272,2341.9766,3654.065,492.98373
519,1071.4286,2257.5554,4500.0,471.52747
520,1331.2573,2663.3,4500.0,410.34537
521,1649.731,2719.5544,3957.0684,346.37814
522,1354.7797,2697.767,3930.5952,433.81018
523,1550.6958,2968.127,4403.66,386.20468
524,1261.5859,2674.4724,4500.0,424.083
525,1408.8282,2669.9268,4500.0,480.6915
526,1071.4286,2529.5193,4500.0,636.2183
527,1682.3434,2005.0433,3348.7144,252.02396
528,1265.4819,3050.9695,4500.0,639.62384
529,1421.619,2605.119,4500.0,461.95157
530,1071.4286,2548.0703,4500.0,450.522
531,1458.7823,2603.652,4500.0,425.0373
532,1289.364,2475.5627,4304.4937,372.37863
533,1124.8297,2303.0132,4327.3096,457.35706
534,1693.9673,2972.5898,4500.0,510.8965
535,1251.5116,2457.5383,4500.0,453.707
536,1320.9087,2536.1528,4500.0,529.5551
537,1182.5785,2776.8892,4500.0,630.35474
538,1919.699,2963.92,4446.939,400.60434
539,1557.9828,2788.547,4075.9478,402.75513
540,1144.959,2757.946,4500.0,402.31952
541,1449.7963,2978.6943,4500.0,411.72467
542,1071.4286,2708.8267,4500.0,661.381
543,1071.4286,2430.737,3761.1736,495.49365
544,1407.0063,2490.1035,4500.0,742.71893
545,1071.4286,2478.5535,4305.163,521.0461
546,1584.5292,2796.3665,4500.0,435.19467
547,1436.9308,2530.466,4316.517,457.47934
548,1627.3866,2738.846,4500.0,559.15393
549,1235.1879,2461.193,4288.9766,446.37732
550,1071.4286,2332.4773,4500.0,592.11865
551,1071.4286,2448.8591,4500.0,618.9103
552,1071.4286,2720.7542,4315.386,423.43384
553,1071.4286,2149.8784,4500.0,567.08545
554,1171.3093,2777.1165,3999.5374,510.34595
555,1071.4286,2236.439,4500.0,495.50967
556,1071.4286,2175.396,4500.0,516.35626
557,1071.4286,2381.3542,4063.088,569.0954
558,1093.911,2238.8398,4500.0,481.3528
559,1358.8854,2819.6685,4368.275,424.30286
560,2079.8704,3019.1646,4331.7495,285.4214
561,1169.1957,2382.4404,3846.8794,435.18137
562,1071.4286,2671.014,4500.0,474.52023
563,1128.5498,2605.9006,4438.364,499.9353
564,1290.0773,2459.0916,4379.2563,478.04807
565,1211.1381,2141.951,3380.3499,336.71915
566,1172.8558,2705.9116,4500.0,639.93494
567,1071.4286,2309.499,4500.0,538.3811
568,1798.1096,2729.13,4500.0,357.1321
569,1609.2177,2927.3176,4500.0,271.85767
570,1071.4286,2584.072,4500.0,719.1836
571,1086.9537,2457.5288,4299.9736,493.9226
572,1071.4286,2481.795,4500.0,481.03906
573,1593.8115,2932.4417,4500.0,354.19623
574,1270.6937,2393.1772,4252.9185,459.31982
575,1071.4286,2465.4922,4500.0,594.55414
576,1584.3864,2511.2942,4500.0,367.57812
577,1071.4286,2223.5076,4039.4014,450.9593
578,1071.4286,2591.426,4500.0,716.14496
579,1133.4733,2729.534,4500.0,560.2808
580,1631.7404,2614.949,4493.8203,481.94205
581,1150.039,2839.0632,4500.0,435.0472
582,1265.9696,2569.4321,4176.247,407.75327
